percentile,rate
8.5e-05,0.17634661
0.0001625,0.35151178
0.00023999999999999998,0.5266769
0.00029749999999999997,0.70184207
0.00039499999999999995,0.87700725
0.00045999999999999996,1.0521723
0.0005475,1.2273375
0.000625,1.4025027
0.0006825000000000001,1.5776678
0.0007525,1.752833
0.00083,1.9279981
0.0009125,2.103163
0.0009825,2.2783282
0.0010550000000000002,2.4534934
0.0011600000000000002,2.6286585
0.0012200000000000002,2.8038237
0.0013000000000000002,2.978989
0.0014050000000000002,3.154154
0.0014675000000000003,3.3293192
0.0015325000000000002,3.5044844
0.0016100000000000003,3.6796494
0.0017300000000000004,3.8548145
0.0018325000000000004,4.02998
0.0019200000000000003,4.205145
0.0020250000000000003,4.38031
0.002115,4.555475
0.0022225,4.7306404
0.0023250000000000002,4.9058056
0.0024400000000000003,5.080971
0.0025725,5.256136
0.0026825,5.431301
0.0028225,5.6064663
0.0029175,5.7816315
0.0029875,5.9567966
0.003105,6.131962
0.0032325,6.307127
0.003395,6.482292
0.0035075,6.6574574
0.0036875000000000002,6.8326225
0.0038150000000000002,7.0077877
0.0039625,7.1829524
0.004115,7.3581176
0.0042875,7.5332828
0.004435,7.708448
0.0045825,7.883613
0.0047775,8.058779
0.00496,8.233944
0.005175,8.409108
0.0053375,8.584273
0.005505,8.7594385
0.005725,8.934604
0.0058875,9.109769
0.006052500000000001,9.284934
0.006257500000000001,9.460099
0.006485000000000001,9.635264
0.006692500000000001,9.81043
0.006940000000000002,9.985595
0.007125000000000002,10.16076
0.007337500000000002,10.335925
0.0075400000000000016,10.51109
0.007777500000000001,10.686255
0.008045000000000002,10.861421
0.008310000000000001,11.036586
0.008575000000000001,11.211751
0.008842500000000001,11.386916
0.009082500000000002,11.562081
0.009350000000000002,11.7372465
0.009652500000000003,11.912412
0.009942500000000003,12.087577
0.010232500000000004,12.262742
0.010625000000000004,12.437907
0.010945000000000005,12.613072
0.011270000000000006,12.788238
0.011617500000000006,12.963403
0.011920000000000007,13.138568
0.012220000000000007,13.313733
0.012652500000000007,13.488898
0.013015000000000007,13.664063
0.013415000000000007,13.839229
0.013812500000000007,14.014394
0.014180000000000007,14.189558
0.014607500000000008,14.364723
0.015042500000000007,14.539888
0.015492500000000008,14.715054
0.015927500000000008,14.890219
0.016387500000000006,15.065384
0.016850000000000007,15.240549
0.017272500000000007,15.415714
0.017740000000000006,15.590879
0.018232500000000006,15.766045
0.018760000000000006,15.94121
0.019237500000000005,16.116375
0.019742500000000003,16.29154
0.020262500000000003,16.466705
0.020797500000000003,16.64187
0.021415000000000003,16.817034
0.022067500000000004,16.992199
0.022642500000000003,17.167364
0.023250000000000003,17.34253
0.023867500000000003,17.517694
0.024467500000000003,17.69286
0.025065000000000004,17.868025
0.025707500000000005,18.04319
0.026460000000000004,18.218355
0.027102500000000005,18.39352
0.027780000000000006,18.568686
0.028530000000000007,18.74385
0.029297500000000008,18.919016
0.03009000000000001,19.094181
0.03090250000000001,19.269346
0.03167250000000001,19.444511
0.03250250000000001,19.619677
0.03330500000000001,19.794842
0.03412250000000001,19.970007
0.035010000000000006,20.145172
0.03588000000000001,20.320337
0.03670750000000001,20.495502
0.03751250000000001,20.670668
0.03839750000000001,20.845833
0.03952250000000001,21.020998
0.040622500000000006,21.196163
0.041662500000000005,21.371328
0.042825,21.546494
0.043905,21.721659
0.0449675,21.896824
0.04609,22.07199
0.04725,22.247154
0.048435,22.42232
0.0497525,22.597485
0.051015,22.77265
0.052262499999999996,22.947815
0.0534725,23.12298
0.0547375,23.298145
0.056005,23.47331
0.05736,23.648476
0.0587125,23.82364
0.06006,23.998806
0.0614525,24.173971
0.06294,24.349136
0.06439,24.524302
0.06593500000000001,24.699467
0.067445,24.874632
0.0689275,25.049797
0.070505,25.224962
0.07212,25.400127
0.0737425,25.575293
0.0753375,25.750458
0.0769775,25.925623
0.0787225,26.100788
0.08053,26.275953
0.0823775,26.451118
0.08429,26.626284
0.08605750000000001,26.801449
0.087885,26.976614
0.08978,27.15178
0.091705,27.326944
0.0937625,27.50211
0.09583,27.677275
0.098,27.85244
0.1001725,28.027605
0.102285,28.202768
0.1044675,28.377934
0.1066175,28.553099
0.10893,28.728264
0.111235,28.903429
0.113535,29.078594
0.1158825,29.25376
0.118265,29.428925
0.120775,29.60409
0.1232775,29.779255
0.12574,29.95442
0.128245,30.129585
0.1308425,30.30475
0.13344,30.479916
0.13625500000000001,30.65508
0.13899250000000002,30.830246
0.1416225,31.005411
0.14440250000000002,31.180576
0.14719500000000002,31.355742
0.1500875,31.530907
0.153035,31.706072
0.1559375,31.881237
0.15902,32.056404
0.162195,32.23157
0.1652375,32.406734
0.16852,32.5819
0.1718275,32.757065
0.1750875,32.93223
0.178465,33.107395
0.181865,33.282562
0.1852325,33.457726
0.18855,33.63289
0.19225,33.808056
0.19574,33.98322
0.199245,34.158386
0.20296250000000002,34.33355
0.206515,34.508717
0.21029,34.68388
0.2139975,34.859047
0.21772750000000002,35.03421
0.22159750000000003,35.209377
0.22549000000000002,35.38454
0.22940250000000004,35.559708
0.23338000000000003,35.73487
0.23730250000000003,35.910038
0.24157000000000003,36.0852
0.24576000000000003,36.26037
0.24976000000000004,36.43553
0.2540025,36.6107
0.2583075,36.785862
0.26276000000000005,36.96103
0.26704250000000007,37.136192
0.27136250000000006,37.31136
0.2758650000000001,37.486523
0.2804100000000001,37.66169
0.2848175000000001,37.836853
0.2894275000000001,38.01202
0.29396500000000014,38.187183
0.29843000000000014,38.36235
0.30302500000000016,38.537514
0.30769250000000015,38.71268
0.31271250000000017,38.887844
0.31755750000000016,39.06301
0.32250250000000014,39.238174
0.3272800000000001,39.41334
0.33240750000000013,39.588505
0.3373525000000001,39.76367
0.34239750000000013,39.938835
0.3473925000000001,40.114002
0.3525425000000001,40.289165
0.3576350000000001,40.464333
0.3629450000000001,40.639496
0.36795000000000005,40.814663
0.3730800000000001,40.989826
0.37824500000000005,41.164993
0.3835100000000001,41.340157
0.3889275000000001,41.515324
0.3943575000000001,41.690487
0.3996875000000001,41.865654
0.4051875000000001,42.040817
0.4107225000000001,42.215984
0.4160600000000001,42.391148
0.4215175000000001,42.566315
0.4270600000000001,42.741478
0.4327900000000001,42.916645
0.43813000000000013,43.09181
0.4436525000000001,43.266975
0.44935000000000014,43.44214
0.45493750000000016,43.617306
0.4608800000000002,43.79247
0.46667250000000016,43.967636
0.47264750000000016,44.1428
0.4781325000000002,44.317966
0.4838525000000002,44.49313
0.4896575000000002,44.668297
0.4954450000000002,44.84346
0.5012000000000002,45.018623
0.5073200000000002,45.19379
0.5131225000000003,45.368954
0.5190725000000003,45.54412
0.5249825000000002,45.719284
0.5311375000000003,45.89445
0.5371675000000002,46.069614
0.5430550000000003,46.24478
0.5488825000000003,46.419945
0.5547750000000002,46.59511
0.5607425000000003,46.770275
0.5664650000000002,46.945442
0.5725650000000002,47.120605
0.5784100000000002,47.295773
0.5843525000000002,47.470936
0.5902150000000002,47.646103
0.5959925000000001,47.821266
0.6019700000000001,47.996433
0.6077450000000001,48.171597
0.6136250000000001,48.346764
0.6195750000000001,48.521927
0.6254875000000001,48.697094
0.6314875000000001,48.872257
0.6371350000000001,49.047424
0.6430450000000001,49.222588
0.6489425000000001,49.397755
0.6548750000000001,49.572918
0.6606625,49.748085
0.6663825,49.92325
0.672145,50.098415
0.677745,50.27358
0.68344,50.448746
0.68905,50.62391
0.694635,50.799076
0.7001850000000001,50.97424
0.7056925000000001,51.149406
0.7110850000000001,51.32457
0.7165600000000001,51.499737
0.7220825000000001,51.6749
0.7274025000000001,51.850067
0.7325525,52.02523
0.737755,52.200397
0.7430275000000001,52.37556
0.7482375000000001,52.550728
0.7536125000000001,52.72589
0.7587750000000001,52.90106
0.7636775000000001,53.07622
0.7689975000000001,53.25139
0.7739700000000002,53.42655
0.7785450000000002,53.60172
0.7834725000000001,53.776882
0.7883675000000001,53.95205
0.7930225000000001,54.127213
0.7977500000000001,54.30238
0.8026725000000001,54.477543
0.8072875000000002,54.65271
0.8117500000000002,54.827873
0.8162875000000002,55.00304
0.8207875000000001,55.178204
0.8252625000000001,55.35337
0.8296000000000001,55.528534
0.8338600000000002,55.7037
0.8382050000000002,55.878864
0.8423175000000002,56.05403
0.8462600000000001,56.229195
0.8503925000000001,56.404358
0.8544150000000001,56.579525
0.8584575000000001,56.75469
0.8623125000000001,56.929855
0.8662575000000001,57.10502
0.8700525000000001,57.280186
0.8735900000000001,57.45535
0.8772325000000001,57.630516
0.8808100000000001,57.80568
0.8844200000000001,57.980846
0.8877475000000001,58.15601
0.8911350000000001,58.331177
0.8944675000000001,58.50634
0.8975850000000001,58.681507
0.9008125000000001,58.85667
0.9038075000000001,59.031837
0.9068900000000001,59.207
0.9098375000000001,59.382168
0.9126650000000001,59.55733
0.9155800000000001,59.7325
0.9183475000000001,59.90766
0.9211675000000001,60.08283
0.9238525000000002,60.25799
0.9265025000000002,60.43316
0.9290450000000002,60.608322
0.9315650000000002,60.78349
0.9341250000000002,60.958652
0.9364275000000002,61.13382
0.9387300000000002,61.308983
0.9411875000000002,61.48415
0.9432875000000002,61.659313
0.9455400000000002,61.83448
0.9476700000000001,62.009644
0.9496975000000001,62.18481
0.9517450000000001,62.359974
0.953755,62.53514
0.955545,62.710304
0.957355,62.88547
0.9590825,63.060635
0.9607199999999999,63.2358
0.96237,63.410965
0.9639424999999999,63.586132
0.9655725,63.761295
0.9670175,63.936462
0.9685275,64.111626
0.9699175,64.28679
0.9712649999999999,64.46196
0.9725725,64.63712
0.9737325,64.81229
0.97496,64.98745
0.9760475000000001,65.16262
0.9771725000000001,65.33778
0.9783200000000001,65.51295
0.9794,65.68811
0.9803675000000001,65.86328
0.9813400000000001,66.038445
0.9822600000000001,66.21361
0.9831300000000002,66.38877
0.9839250000000002,66.56394
0.9847275000000002,66.739105
0.9855225000000002,66.91427
0.9862400000000002,67.08943
0.9869800000000002,67.264595
0.9876900000000002,67.439766
0.9883725000000002,67.61493
0.9890000000000002,67.79009
0.9895625000000002,67.965256
0.9901650000000002,68.14043
0.9907050000000002,68.31559
0.9912125000000002,68.49075
0.9916850000000001,68.66592
0.9920700000000001,68.84109
0.9925175000000002,69.01625
0.9929725000000001,69.191414
0.9934350000000002,69.36658
0.9938050000000002,69.54175
0.9941850000000002,69.71691
0.9945350000000002,69.892075
0.9949300000000002,70.06724
0.9952400000000002,70.24241
0.9955100000000002,70.41757
0.9958100000000002,70.592735
0.9960675000000002,70.7679
0.9963125000000003,70.94307
0.9965325000000003,71.11823
0.9967375000000003,71.293396
0.9969500000000002,71.46856
0.9971550000000002,71.64373
0.9973300000000003,71.81889
0.9975075000000003,71.99406
0.9977125000000003,72.16922
0.9978725000000004,72.34439
0.9979875000000004,72.519554
0.9981250000000004,72.69472
0.9982675000000004,72.86988
0.9984150000000004,73.04505
0.9985375000000004,73.220215
0.9986400000000004,73.39538
0.9987350000000004,73.57054
0.9988175000000004,73.74571
0.9989075000000004,73.920876
0.9989950000000004,74.09604
0.9990700000000005,74.2712
0.9991450000000005,74.44637
0.9992100000000005,74.62154
0.9992575000000005,74.7967
0.9993225000000004,74.97186
0.9993850000000004,75.14703
0.9994500000000004,75.3222
0.9994925000000003,75.49736
0.9995375000000003,75.67252
0.9995925000000003,75.847694
0.9996100000000003,76.02286
0.9996375000000003,76.19802
0.9996600000000003,76.373184
0.9996850000000004,76.548355
0.9997075000000004,76.72352
0.9997400000000004,76.89868
0.9997575000000004,77.073845
0.9997700000000004,77.249016
0.9997850000000004,77.42418
0.9998025000000004,77.59934
0.9998100000000004,77.774506
0.9998250000000004,77.94968
0.9998475000000004,78.12484
0.9998675000000005,78.3
0.9998800000000004,78.47517
0.9999000000000005,78.65033
0.9999050000000005,78.8255
0.9999175000000005,79.00066
0.9999175000000005,79.17583
0.9999275000000004,79.35099
0.9999400000000004,79.52616
0.9999450000000004,79.701324
0.9999525000000005,79.87649
0.9999575000000005,80.05165
0.9999650000000005,80.22682
0.9999700000000006,80.401985
0.9999775000000006,80.57715
0.9999775000000006,80.75231
0.9999800000000006,80.92748
0.9999800000000006,81.102646
0.9999800000000006,81.27781
0.9999850000000007,81.45297
0.9999850000000007,81.62814
0.9999875000000007,81.80331
0.9999900000000007,81.97847
0.9999925000000007,82.15363
0.9999925000000007,82.328804
0.9999925000000007,82.50397
0.9999925000000007,82.67913
0.9999925000000007,82.854294
0.9999950000000007,83.029465
0.9999975000000008,83.20463
0.9999975000000008,83.37979
0.9999975000000008,83.554955
0.9999975000000008,83.730125
0.9999975000000008,83.90529
0.9999975000000008,84.08045
0.9999975000000008,84.255615
0.9999975000000008,84.430786
0.9999975000000008,84.60595
0.9999975000000008,84.78111
0.9999975000000008,84.956276
0.9999975000000008,85.13145
0.9999975000000008,85.30661
0.9999975000000008,85.48177
0.9999975000000008,85.65694
0.9999975000000008,85.83211
0.9999975000000008,86.00727
0.9999975000000008,86.182434
0.9999975000000008,86.3576
0.9999975000000008,86.53277
0.9999975000000008,86.70793
0.9999975000000008,86.883095
0.9999975000000008,87.05826
0.9999975000000008,87.23343
0.9999975000000008,87.40859
1.0000000000000007,87.583755
